inventory_id,product_id,store_id,warehouse_id,stock_quantity,reserved_quantity,available_quantity,reorder_level,max_stock,last_stock_update,inventory_status
1,1,73,4,84,16,68,25,401,2026-07-19,In Stock
2,1,32,12,104,14,90,31,381,2026-07-19,In Stock
3,1,41,8,363,43,320,108,753,2026-07-19,In Stock
4,1,93,4,248,4,244,74,747,2026-07-19,In Stock
5,1,39,14,63,11,52,18,330,2026-07-19,In Stock
6,1,37,14,344,68,276,103,678,2026-07-19,In Stock
7,1,10,17,126,14,112,37,411,2026-07-19,In Stock
8,1,67,15,87,2,85,26,257,2026-07-19,In Stock
9,2,6,2,495,46,449,148,618,2026-07-19,In Stock
10,2,66,7,268,18,250,80,542,2026-07-19,In Stock
11,2,98,13,497,99,398,149,880,2026-07-19,In Stock
12,2,43,10,365,40,325,109,725,2026-07-19,In Stock
13,2,50,18,82,12,70,24,465,2026-07-19,In Stock
14,2,64,1,305,44,261,91,717,2026-07-19,In Stock
15,2,54,6,415,70,345,124,583,2026-07-19,In Stock
16,2,59,20,365,47,318,109,835,2026-07-19,In Stock
17,2,52,13,49,4,45,14,426,2026-07-19,In Stock
18,2,15,18,320,15,305,96,618,2026-07-19,In Stock
19,2,26,20,396,78,318,118,674,2026-07-19,In Stock
20,2,41,2,493,93,400,147,947,2026-07-19,In Stock
21,2,90,16,425,75,350,127,849,2026-07-19,In Stock
22,2,85,17,111,19,92,33,317,2026-07-19,In Stock
23,3,37,6,307,60,247,92,507,2026-07-19,In Stock
24,3,43,6,120,5,115,36,264,2026-07-19,In Stock
25,3,56,18,179,11,168,53,406,2026-07-19,In Stock
26,3,46,2,468,37,431,140,767,2026-07-19,In Stock
27,3,62,2,367,6,361,110,855,2026-07-19,In Stock
28,3,35,4,197,15,182,59,360,2026-07-19,In Stock
29,3,76,8,278,38,240,83,730,2026-07-19,In Stock
30,3,78,3,361,30,331,108,744,2026-07-19,In Stock
31,3,99,16,424,9,415,127,792,2026-07-19,In Stock
32,3,25,15,345,64,281,103,751,2026-07-19,In Stock
33,3,54,3,330,24,306,99,682,2026-07-19,In Stock
34,3,72,17,143,6,137,42,406,2026-07-19,In Stock
35,3,22,3,282,20,262,84,720,2026-07-19,In Stock
36,4,100,10,239,4,235,71,559,2026-07-19,In Stock
37,4,38,18,370,6,364,111,642,2026-07-19,In Stock
38,4,79,4,228,18,210,68,398,2026-07-19,In Stock
39,4,50,1,240,9,231,72,377,2026-07-19,In Stock
40,4,9,12,155,2,153,46,540,2026-07-19,In Stock
41,4,82,10,129,21,108,38,324,2026-07-19,In Stock
42,4,26,7,316,14,302,94,629,2026-07-19,In Stock
43,4,92,17,298,4,294,89,656,2026-07-19,In Stock
44,4,49,2,292,42,250,87,652,2026-07-19,In Stock
45,4,73,9,376,13,363,112,821,2026-07-19,In Stock
46,4,78,12,29,1,28,8,356,2026-07-19,In Stock
47,4,25,14,34,4,30,10,334,2026-07-19,In Stock
48,4,64,6,66,12,54,19,317,2026-07-19,In Stock
49,4,96,16,341,68,273,102,572,2026-07-19,In Stock
50,4,77,8,68,7,61,20,198,2026-07-19,In Stock
51,4,20,7,49,5,44,14,475,2026-07-19,In Stock
52,4,46,6,260,17,243,78,515,2026-07-19,In Stock
53,5,87,11,465,83,382,139,950,2026-07-19,In Stock
54,5,22,12,39,6,33,11,139,2026-07-19,In Stock
55,5,67,15,457,32,425,137,709,2026-07-19,In Stock
56,5,85,16,232,24,208,69,681,2026-07-19,In Stock
57,5,26,20,466,37,429,139,939,2026-07-19,In Stock
58,5,80,11,309,41,268,92,529,2026-07-19,In Stock
59,5,45,14,213,11,202,63,394,2026-07-19,In Stock
60,5,72,11,403,0,403,120,680,2026-07-19,In Stock
61,5,59,6,462,55,407,138,668,2026-07-19,In Stock
62,5,29,18,395,52,343,118,630,2026-07-19,In Stock
63,5,20,20,279,12,267,83,640,2026-07-19,In Stock
64,5,48,5,491,72,419,147,962,2026-07-19,In Stock
65,5,15,5,257,18,239,77,536,2026-07-19,In Stock
66,5,98,17,299,22,277,89,697,2026-07-19,In Stock
67,6,60,7,97,13,84,29,368,2026-07-19,In Stock
68,6,69,2,466,59,407,139,945,2026-07-19,In Stock
69,6,34,17,179,18,161,53,660,2026-07-19,In Stock
70,6,85,19,244,18,226,73,721,2026-07-19,In Stock
71,6,91,10,89,4,85,26,319,2026-07-19,In Stock
72,6,83,13,318,28,290,95,675,2026-07-19,In Stock
73,6,37,20,352,59,293,105,592,2026-07-19,In Stock
74,6,61,14,343,5,338,102,632,2026-07-19,In Stock
75,6,86,7,367,27,340,110,482,2026-07-19,In Stock
76,6,16,15,26,4,22,7,315,2026-07-19,In Stock
77,7,36,15,255,11,244,76,367,2026-07-19,In Stock
78,7,100,6,435,76,359,130,796,2026-07-19,In Stock
79,7,62,14,431,26,405,129,535,2026-07-19,In Stock
80,7,18,6,280,18,262,84,569,2026-07-19,In Stock
81,7,11,11,139,4,135,41,579,2026-07-19,In Stock
82,7,29,20,71,8,63,21,416,2026-07-19,In Stock
83,7,17,10,110,18,92,33,350,2026-07-19,In Stock
84,7,35,1,300,55,245,90,549,2026-07-19,In Stock
85,8,27,6,307,39,268,92,724,2026-07-19,In Stock
86,8,63,1,68,10,58,20,397,2026-07-19,In Stock
87,8,89,20,25,2,23,7,131,2026-07-19,In Stock
88,8,53,20,176,11,165,52,304,2026-07-19,In Stock
89,8,28,1,433,81,352,129,817,2026-07-19,In Stock
90,8,99,17,226,10,216,67,515,2026-07-19,In Stock
91,8,52,3,354,20,334,106,561,2026-07-19,In Stock
92,8,74,5,219,5,214,65,509,2026-07-19,In Stock
93,8,78,17,464,17,447,139,596,2026-07-19,In Stock
94,8,32,2,337,24,313,101,476,2026-07-19,In Stock
95,8,56,17,143,12,131,42,628,2026-07-19,In Stock
96,8,43,1,109,15,94,32,387,2026-07-19,In Stock
97,8,4,4,39,1,38,11,226,2026-07-19,In Stock
98,8,57,19,246,6,240,73,627,2026-07-19,In Stock
99,9,93,19,198,14,184,59,499,2026-07-19,In Stock
100,9,18,11,55,8,47,16,372,2026-07-19,In Stock
101,9,100,15,468,70,398,140,622,2026-07-19,In Stock
102,9,21,7,178,31,147,53,484,2026-07-19,In Stock
