campaign_id,campaign_name,channel_id,campaign_type,start_date,end_date,budget,spend,impressions,clicks,conversions,revenue_generated,roas,campaign_status
1,Christmas Offers 2025 - YouTube - 001,4,Brand Awareness,2025-10-16,2025-11-14,568106,421455.9,3044120,124575,5888,2001915.53,4.75,Paused
2,Big Savings Week 2024 - Facebook Ads - 002,2,Festival Sale,2024-01-31,2024-02-26,155649,135161.47,543071,21476,880,536591.04,3.97,Completed
3,Fashion Bonanza 2024 - Google Ads - 003,1,Product Launch,2024-01-07,2024-02-11,426064,325766.03,1265459,23508,916,1130408.12,3.47,Completed
4,Kids Promotion 2025 - Affiliate - 004,8,Product Launch,2025-09-10,2025-10-28,361779,358861.15,1907454,65466,4024,1758419.64,4.9,Completed
5,Winter Offers 2025 - Referral - 005,7,Product Launch,2025-08-14,2025-09-22,1721241,1354300.63,10079449,233315,5844,4103530.91,3.03,Completed
6,Christmas Festival 2024 - Affiliate - 006,8,App Install,2024-06-15,2024-08-16,1377440,1226601.35,5674895,133748,5766,3655272.02,2.98,Completed
7,Winter Offers 2024 - Organic Search - 007,6,Product Launch,2024-08-12,2024-10-07,1823444,1293970.7,7319602,178385,5449,8656663.98,6.69,Completed
8,Kids Carnival 2024 - Google Ads - 008,1,Loyalty Campaign,2024-08-05,2024-10-22,655493,486303.11,1913840,64810,3716,1877130.0,3.86,Completed
9,Super Promotion 2025 - Direct - 009,10,Flash Sale,2025-02-12,2025-04-14,1134977,825437.93,6424594,121024,6217,4837066.27,5.86,Completed
10,End of Season Drive 2025 - YouTube - 010,4,App Install,2025-09-02,2025-09-25,1209633,937978.74,4271681,204976,11071,1997894.72,2.13,Completed
11,Grocery Carnival 2024 - Affiliate - 011,8,App Install,2024-09-30,2024-11-27,1051527,737092.66,2948646,118502,8128,4194057.24,5.69,Completed
12,Big Savings Week 2024 - YouTube - 012,4,Brand Awareness,2024-04-18,2024-06-10,517146,385714.26,1499363,50795,2993,1704857.03,4.42,Completed
13,Mega Campaign 2025 - Referral - 013,7,Customer Acquisition,2025-09-05,2025-10-31,1942813,1934257.66,7293045,170517,5463,8936270.39,4.62,Completed
14,Premium Carnival 2024 - Affiliate - 014,8,Seasonal Sale,2024-03-28,2024-06-13,369256,331564.28,1141621,23722,1100,1604771.12,4.84,Completed
15,Home Campaign 2025 - Direct - 015,10,App Install,2025-07-06,2025-08-15,1018762,988081.19,4909293,116235,2696,1600691.53,1.62,Completed
16,Monsoon Sale 2024 - LinkedIn - 016,9,Email Promotion,2024-08-23,2024-11-21,580125,417817.68,3325135,88332,4037,1265987.57,3.03,Completed
17,Smart Shopping Week 2024 - LinkedIn - 017,9,Product Launch,2024-08-07,2024-10-30,1091262,843435.5,4111609,120252,2972,4318389.76,5.12,Completed
18,Winter Festival 2025 - Referral - 018,7,Email Promotion,2025-03-09,2025-05-15,227113,186411.26,1029472,46489,1507,475348.71,2.55,Completed
19,Kids Offers 2024 - Organic Search - 019,6,App Install,2024-05-23,2024-07-31,1933929,1889409.34,9458229,427012,20290,3363148.63,1.78,Completed
20,Diwali Carnival 2024 - Direct - 020,10,Flash Sale,2024-01-16,2024-02-11,952312,805362.96,5081971,147562,3383,2883199.4,3.58,Completed
