attribution_id,order_id,campaign_id,attribution_method
1,4,301,Last-Touch
2,7,219,Last-Touch
3,11,216,Last-Touch
4,16,301,Last-Touch
5,24,1,Last-Touch
6,27,229,Last-Touch
7,31,335,Last-Touch
8,32,153,Last-Touch
9,38,44,Last-Touch
10,40,240,Last-Touch
11,45,279,Last-Touch
12,46,337,Last-Touch
13,50,172,Last-Touch
14,54,8,Last-Touch
15,68,90,Last-Touch
16,69,127,Last-Touch
17,74,311,Last-Touch
18,82,388,Last-Touch
19,85,34,Last-Touch
20,95,313,Last-Touch
21,102,133,Last-Touch
22,105,449,Last-Touch
23,110,108,Last-Touch
24,111,21,Last-Touch
25,112,197,Last-Touch
26,114,49,Last-Touch
27,118,97,Last-Touch
28,126,158,Last-Touch
29,127,279,Last-Touch
30,128,150,Last-Touch
31,133,478,Last-Touch
32,139,7,Last-Touch
33,140,232,Last-Touch
34,142,364,Last-Touch
35,145,272,Last-Touch
36,146,232,Last-Touch
37,151,231,Last-Touch
38,155,112,Last-Touch
39,158,336,Last-Touch
40,159,87,Last-Touch
41,161,296,Last-Touch
42,167,178,Last-Touch
43,171,150,Last-Touch
44,173,306,Last-Touch
45,180,147,Last-Touch
46,182,462,Last-Touch
47,185,331,Last-Touch
48,191,128,Last-Touch
49,193,36,Last-Touch
50,194,471,Last-Touch
51,200,414,Last-Touch
52,204,367,Last-Touch
53,205,69,Last-Touch
54,210,320,Last-Touch
55,218,89,Last-Touch
56,219,179,Last-Touch
57,223,240,Last-Touch
58,228,306,Last-Touch
59,231,401,Last-Touch
60,234,52,Last-Touch
61,238,363,Last-Touch
62,241,229,Last-Touch
63,245,122,Last-Touch
64,247,280,Last-Touch
65,249,337,Last-Touch
66,250,324,Last-Touch
67,252,65,Last-Touch
68,258,93,Last-Touch
69,262,452,Last-Touch
70,267,184,Last-Touch
71,268,244,Last-Touch
72,272,428,Last-Touch
73,274,10,Last-Touch
74,281,498,Last-Touch
75,288,260,Last-Touch
76,295,144,Last-Touch
77,304,372,Last-Touch
78,307,379,Last-Touch
79,308,150,Last-Touch
80,310,470,Last-Touch
81,313,484,Last-Touch
82,314,272,Last-Touch
83,320,292,Last-Touch
84,324,331,Last-Touch
85,327,364,Last-Touch
86,330,231,Last-Touch
87,332,264,Last-Touch
88,333,359,Last-Touch
89,337,85,Last-Touch
90,340,106,Last-Touch
91,343,490,Last-Touch
92,345,76,Last-Touch
93,354,73,Last-Touch
94,355,281,Last-Touch
95,358,423,Last-Touch
96,359,24,Last-Touch
97,362,251,Last-Touch
98,367,286,Last-Touch
99,370,371,Last-Touch
100,371,106,Last-Touch
101,373,344,Last-Touch
102,378,162,Last-Touch
103,384,306,Last-Touch
104,391,156,Last-Touch
105,409,341,Last-Touch
106,410,30,Last-Touch
107,412,488,Last-Touch
108,413,481,Last-Touch
109,414,184,Last-Touch
110,416,72,Last-Touch
111,420,470,Last-Touch
112,425,277,Last-Touch
113,430,483,Last-Touch
114,435,231,Last-Touch
115,436,311,Last-Touch
116,441,231,Last-Touch
117,444,100,Last-Touch
118,446,94,Last-Touch
119,450,251,Last-Touch
120,456,229,Last-Touch
121,459,142,Last-Touch
122,464,396,Last-Touch
123,465,425,Last-Touch
124,468,482,Last-Touch
125,475,157,Last-Touch
126,476,310,Last-Touch
127,477,500,Last-Touch
128,482,219,Last-Touch
129,495,233,Last-Touch
130,504,132,Last-Touch
131,505,102,Last-Touch
132,510,478,Last-Touch
133,511,297,Last-Touch
134,512,471,Last-Touch
135,517,311,Last-Touch
136,525,129,Last-Touch
137,528,306,Last-Touch
138,534,410,Last-Touch
139,539,198,Last-Touch
140,543,386,Last-Touch
141,544,342,Last-Touch
142,549,433,Last-Touch
143,552,87,Last-Touch
144,556,113,Last-Touch
145,557,201,Last-Touch
146,559,136,Last-Touch
147,560,333,Last-Touch
148,563,489,Last-Touch
149,564,449,Last-Touch
150,565,357,Last-Touch
151,572,464,Last-Touch
152,573,459,Last-Touch
153,577,433,Last-Touch
154,578,30,Last-Touch
155,583,391,Last-Touch
156,584,142,Last-Touch
157,588,483,Last-Touch
158,589,478,Last-Touch
159,593,129,Last-Touch
160,595,284,Last-Touch
161,596,279,Last-Touch
162,599,5,Last-Touch
163,603,347,Last-Touch
164,604,419,Last-Touch
165,606,300,Last-Touch
166,608,333,Last-Touch
167,610,60,Last-Touch
168,613,130,Last-Touch
169,617,490,Last-Touch
170,620,395,Last-Touch
171,622,378,Last-Touch
172,627,362,Last-Touch
173,628,493,Last-Touch
174,634,315,Last-Touch
175,636,356,Last-Touch
176,637,69,Last-Touch
177,644,84,Last-Touch
178,650,456,Last-Touch
179,652,435,Last-Touch
180,658,441,Last-Touch
181,659,284,Last-Touch
182,667,305,Last-Touch
183,668,333,Last-Touch
184,670,410,Last-Touch
185,674,359,Last-Touch
186,675,410,Last-Touch
187,681,493,Last-Touch
188,682,427,Last-Touch
189,683,70,Last-Touch
190,685,36,Last-Touch
191,690,391,Last-Touch
192,698,492,Last-Touch
193,699,413,Last-Touch
194,700,396,Last-Touch
195,703,81,Last-Touch
196,708,144,Last-Touch
197,709,281,Last-Touch
198,710,101,Last-Touch
199,717,58,Last-Touch
200,724,450,Last-Touch
201,725,431,Last-Touch
202,730,381,Last-Touch
203,732,87,Last-Touch
204,734,449,Last-Touch
205,738,450,Last-Touch
206,739,321,Last-Touch
207,740,131,Last-Touch
208,747,18,Last-Touch
209,751,197,Last-Touch
210,757,339,Last-Touch
211,767,457,Last-Touch
212,776,52,Last-Touch
213,777,237,Last-Touch
214,778,217,Last-Touch
215,783,486,Last-Touch
216,785,190,Last-Touch
217,788,56,Last-Touch
218,790,124,Last-Touch
219,795,35,Last-Touch
220,797,364,Last-Touch
221,800,49,Last-Touch
222,802,402,Last-Touch
223,803,338,Last-Touch
224,804,482,Last-Touch
225,807,364,Last-Touch
226,809,144,Last-Touch
227,810,20,Last-Touch
228,812,244,Last-Touch
229,818,13,Last-Touch
230,820,433,Last-Touch
231,821,366,Last-Touch
232,822,365,Last-Touch
233,830,386,Last-Touch
234,832,395,Last-Touch
235,833,432,Last-Touch
236,837,69,Last-Touch
237,839,192,Last-Touch
238,841,279,Last-Touch
239,846,344,Last-Touch
240,848,486,Last-Touch
241,853,498,Last-Touch
242,855,366,Last-Touch
243,859,208,Last-Touch
244,861,335,Last-Touch
245,872,30,Last-Touch
246,873,353,Last-Touch
247,875,240,Last-Touch
248,879,417,Last-Touch
249,889,72,Last-Touch
250,890,472,Last-Touch
251,893,413,Last-Touch
252,895,364,Last-Touch
253,902,24,Last-Touch
254,903,342,Last-Touch
255,905,50,Last-Touch
256,913,371,Last-Touch
257,915,44,Last-Touch
258,917,448,Last-Touch
259,918,421,Last-Touch
260,919,142,Last-Touch
261,922,58,Last-Touch
262,930,71,Last-Touch
263,935,418,Last-Touch
264,939,380,Last-Touch
265,940,254,Last-Touch
266,943,195,Last-Touch
267,944,354,Last-Touch
268,954,90,Last-Touch
269,957,231,Last-Touch
