order_item_id,order_id,product_id,quantity,unit_price,discount,total_price
1,1,4125,3,3698.1,10539.27,555.03
2,1,2930,1,54209.54,51497.52,2712.02
3,1,4962,4,44485.21,169038.73,8902.11
4,1,2165,3,18712.55,53329.17,2808.48
5,1,4923,4,8477.76,32214.52,1696.52
6,2,4122,3,24782.56,65565.61,8782.07
7,2,1349,1,4410.0,3889.08,520.92
8,2,4527,1,18893.32,16661.61,2231.71
9,2,2497,1,43905.28,38719.12,5186.16
10,3,269,4,19207.98,70930.37,5901.55
11,3,4084,2,12651.5,23359.45,1943.55
12,3,151,4,7307.9,26986.29,2245.31
13,3,4326,1,10194.69,9411.62,783.07
14,4,3229,4,38785.07,148689.78,6450.5
15,4,2920,1,56286.93,53946.6,2340.33
16,4,367,2,21490.17,41193.28,1787.06
17,4,4164,4,54448.92,208740.06,9055.62
18,5,4694,1,42322.8,35633.5,6689.3
19,5,329,1,53060.58,44674.13,8386.45
20,6,4394,4,6484.74,23374.01,2564.95
21,6,758,2,2254.47,4063.08,445.86
22,6,3661,2,41321.18,74470.34,8172.02
23,6,1038,2,7935.18,14301.03,1569.33
24,6,4746,2,47501.07,85607.94,9394.2
25,7,354,2,28421.6,55173.18,1670.02
26,7,23,4,55934.19,217163.49,6573.27
27,8,3225,2,52042.41,96533.46,7551.36
28,8,127,3,6661.3,18534.07,1449.83
29,8,1470,4,26324.47,97658.5,7639.38
30,9,4775,3,39585.66,101627.59,17129.39
31,10,4396,1,30596.81,30265.32,331.49
32,10,3694,1,38401.37,37985.32,416.05
33,10,1542,1,13320.08,13175.77,144.31
34,10,3334,1,26020.31,25738.39,281.92
35,11,2796,1,30030.09,27701.23,2328.86
36,11,3905,2,8389.71,15478.16,1301.26
37,12,2616,3,51515.74,152755.25,1791.97
38,12,3653,4,2691.75,10642.16,124.84
39,12,2477,3,30338.22,89959.35,1055.31
40,12,1839,1,41084.06,40607.68,476.38
41,13,4732,2,2180.89,3912.39,449.39
42,13,3368,4,13947.69,50042.67,5748.09
43,13,3060,1,5004.92,4489.27,515.65
44,13,2561,3,35604.44,95808.39,11004.93
45,14,92,2,35502.1,47318.58,23685.62
46,15,1008,2,23521.07,44224.13,2818.01
47,15,2097,4,12617.72,47447.48,3023.4
48,15,1832,1,17282.08,16246.82,1035.26
49,15,3704,1,51634.98,48541.85,3093.13
50,15,4151,3,3229.09,9106.96,580.31
51,16,2231,3,29044.63,77323.72,9810.17
52,16,1297,1,3853.16,3419.34,433.82
53,16,3053,4,17362.0,61629.04,7818.96
54,17,753,3,29975.37,67328.17,22597.94
55,18,1575,3,31013.52,66827.37,26213.19
56,19,2044,4,31276.34,124224.64,880.72
57,19,2523,1,65697.72,65235.22,462.5
58,19,3392,3,30089.93,89634.31,635.48
59,19,2897,1,57122.0,56719.88,402.12
60,20,2436,1,39460.13,31294.82,8165.31
61,20,2468,3,19129.83,45514.13,11875.36
62,20,3468,2,7186.27,11398.49,2974.05
63,21,11,1,13592.03,10539.9,3052.13
64,21,4460,2,18902.37,29315.58,8489.16
65,22,1248,3,44950.7,130125.82,4726.28
66,22,3098,3,31841.35,92176.13,3347.92
67,23,4501,4,59352.39,214780.5,22629.06
