order_id,customer_id,store_id,order_date,payment_method,order_status,subtotal,discount,tax,shipping_charge,total_amount
1,6123,20,2025-09-25,Credit Card,Shipped,14135.9,5.26,2543.52,0,16674.16
2,3608,65,2023-09-08,UPI,Cancelled,17624.14,3453.92,2550.64,0,16720.86
3,3421,5,2024-01-09,UPI,Delivered,10529.32,1314.51,1658.67,0,10873.48
4,2304,19,2024-07-17,UPI,Delivered,19915.14,3360.47,2979.84,99,19633.51
5,2783,58,2023-06-20,Credit Card,Delivered,14246.51,1537.4,2287.64,79,15075.75
6,2374,73,2023-12-24,UPI,Delivered,21894.69,3168.11,3370.78,49,22146.36
7,9169,45,2024-05-11,Debit Card,Delivered,7326.29,424.35,1242.35,99,8243.29
8,4496,21,2023-06-17,Cash,Cancelled,15474.8,1439.57,2526.34,79,16640.57
9,3935,38,2024-01-31,Debit Card,Shipped,15868.93,1352.5,2612.96,0,17129.39
10,3243,21,2025-01-05,Wallet,Delivered,1077.95,83.23,179.05,0,1173.77
11,5173,13,2025-10-04,Wallet,Delivered,3093.09,58.24,546.27,49,3630.12
12,8651,28,2023-07-14,Wallet,Processing,3077.91,196.98,518.57,49,3448.5
13,8695,71,2025-02-10,Cash,Processing,14953.44,5.08,2690.7,79,17718.06
14,2192,71,2025-08-10,Credit Card,Delivered,20907.86,876.83,3605.59,49,23685.62
15,3650,49,2023-11-21,Wallet,Cancelled,10891.44,1950.67,1609.34,0,10550.11
16,9308,69,2024-08-11,UPI,Processing,15592.8,369.11,2740.26,99,18062.95
17,1986,25,2025-06-08,Debit Card,Shipped,20483.37,1374.1,3439.67,49,22597.94
18,8976,40,2024-09-30,Wallet,Cancelled,24139.66,1992.04,3986.57,79,26213.19
19,8311,19,2023-05-30,Debit Card,Delivered,2378.49,360.85,363.18,0,2380.82
20,8171,33,2024-04-08,Wallet,Processing,21779.22,2342.17,3498.67,79,23014.72
21,6923,81,2024-12-05,Wallet,Processing,11738.74,1999.51,1753.06,49,11541.29
22,7119,90,2023-07-28,Wallet,Delivered,7150.12,374.53,1219.61,79,8074.2
23,918,42,2024-04-16,Debit Card,Delivered,23500.35,4390.13,3439.84,79,22629.06
24,363,38,2025-11-14,Cash,Delivered,14986.45,2611.52,2227.49,49,14651.42
25,5194,89,2025-10-13,Net Banking,Delivered,21562.6,3582.16,3236.48,79,21295.92
26,5485,70,2024-11-01,Cash,Shipped,1274.45,126.23,206.68,99,1453.9
27,5958,41,2024-06-06,UPI,Shipped,18391.09,3131.27,2746.77,0,18006.59
28,1185,6,2023-11-15,Net Banking,Delivered,20366.4,3229.4,3084.66,49,20270.66
29,242,61,2023-10-07,Credit Card,Processing,1128.68,22.44,199.12,79,1384.36
30,345,35,2023-12-24,Debit Card,Delivered,22542.53,1489.02,3789.63,79,24922.14
31,9571,71,2025-01-24,Cash,Delivered,24397.66,2007.78,4030.18,49,26469.06
32,3853,9,2024-06-12,Credit Card,Delivered,2984.13,296.46,483.78,49,3220.45
33,2529,19,2025-07-09,Wallet,Delivered,18016.24,3484.81,2615.66,79,17226.09
34,3034,29,2023-05-11,Cash,Delivered,4047.11,316.33,671.54,99,4501.32
35,1139,49,2023-05-19,Debit Card,Processing,12232.19,2141.91,1816.25,0,11906.53
36,5489,44,2025-10-13,Cash,Cancelled,21841.49,1909.55,3587.75,99,23618.69
37,4964,27,2024-12-23,Net Banking,Delivered,17006.2,3300.03,2467.11,99,16272.28
38,7756,65,2024-11-15,Cash,Delivered,7067.6,907.3,1108.85,0,7269.15
39,6590,95,2023-09-05,UPI,Shipped,18160.4,254.46,3223.07,99,21228.01
40,5747,23,2024-12-07,Wallet,Processing,24474.01,767.67,4267.14,99,28072.48
41,4951,73,2023-10-19,Credit Card,Delivered,24345.15,110.93,4362.16,99,28695.38
42,3080,9,2024-11-10,Credit Card,Delivered,11140.56,1139.47,1800.2,79,11880.29
43,6225,58,2023-02-09,UPI,Processing,19907.84,1437.76,3324.61,49,21843.69
44,7502,13,2023-08-11,Net Banking,Cancelled,9351.09,621.11,1571.4,79,10380.38
45,7506,61,2024-06-03,Cash,Delivered,21954.27,1152.08,3744.39,0,24546.58
46,9539,84,2024-05-12,Wallet,Delivered,15665.21,917.88,2654.52,49,17450.85
47,9493,69,2023-12-26,Credit Card,Processing,8294.19,1361.01,1247.97,0,8181.15
48,3622,20,2023-11-08,Net Banking,Cancelled,635.04,62.4,103.08,79,754.72
49,4678,72,2025-05-02,Credit Card,Processing,3906.86,754.2,567.48,99,3819.14
50,751,35,2024-09-21,Debit Card,Cancelled,12850.44,528.96,2217.87,79,14618.35
51,4473,14,2025-08-05,Net Banking,Delivered,17629.92,2157.3,2785.07,49,18306.69
52,4925,14,2023-02-10,Debit Card,Shipped,14790.45,349.6,2599.35,0,17040.2
53,8294,82,2023-03-12,Debit Card,Delivered,20774.96,563.22,3638.11,99,23948.85
54,7296,87,2024-09-25,Net Banking,Delivered,4725.46,308.71,795.01,49,5260.76
55,1081,64,2025-02-25,Net Banking,Delivered,22561.32,4473.0,3255.9,79,21423.22
56,4452,64,2025-01-16,Cash,Delivered,5066.18,793.76,769.04,79,5120.46
57,4354,69,2025-08-25,Net Banking,Delivered,13125.83,2149.75,1975.69,49,13000.77
58,4118,24,2023-06-09,Net Banking,Delivered,23487.54,934.54,4059.54,79,26691.54
59,8721,64,2025-05-02,Debit Card,Shipped,19067.51,1866.54,3096.17,49,20346.14
60,6677,52,2025-01-04,Cash,Shipped,5618.25,329.73,951.93,49,6289.45
61,205,34,2025-06-03,Net Banking,Cancelled,22660.12,3134.96,3514.53,99,23138.69
62,6809,88,2025-01-05,Debit Card,Delivered,11396.85,1378.7,1803.27,0,11821.42
63,2438,67,2025-02-03,Cash,Processing,11398.44,1893.71,1710.85,99,11314.58
64,2161,11,2024-06-19,Wallet,Cancelled,1647.48,302.76,242.05,49,1635.77
65,240,69,2025-09-16,Net Banking,Delivered,14554.37,514.23,2527.23,0,16567.37
66,5024,9,2023-09-13,Debit Card,Delivered,2257.32,335.15,345.99,0,2268.16
67,6563,23,2023-05-20,Net Banking,Cancelled,1082.2,61.92,183.65,0,1203.93
68,7398,53,2025-08-16,Net Banking,Delivered,10328.37,2008.97,1497.49,0,9816.89
69,9588,13,2024-08-09,Wallet,Delivered,1607.34,16.11,286.42,79,1956.65
70,5221,31,2024-02-25,Cash,Delivered,782.03,98.87,122.97,0,806.13
71,9039,88,2023-03-31,Net Banking,Processing,21563.72,3845.76,3189.23,79,20986.19
72,7689,100,2024-07-06,Cash,Delivered,3813.19,567.74,584.18,79,3908.63
73,6414,51,2023-11-02,Cash,Delivered,15096.72,1067.88,2525.19,0,16554.03
74,9212,88,2024-08-30,Net Banking,Shipped,14344.84,2013.4,2219.66,49,14600.1
75,5799,40,2025-04-22,Credit Card,Delivered,21388.26,343.86,3787.99,99,24931.39
76,7536,99,2023-02-05,UPI,Shipped,11436.87,1771.45,1739.78,99,11504.2
77,5782,37,2023-03-15,UPI,Cancelled,9259.6,503.59,1576.08,99,10431.09
78,1523,20,2025-06-01,Debit Card,Delivered,13156.23,428.1,2291.06,99,15118.19
79,7808,71,2023-06-29,Wallet,Delivered,10172.06,210.05,1793.16,99,11854.17
80,7290,95,2025-03-04,Cash,Delivered,15127.72,1467.17,2458.9,99,16218.45
81,117,7,2025-06-12,Wallet,Cancelled,13737.84,329.73,2413.46,49,15870.57
82,5635,38,2024-05-17,Wallet,Delivered,3906.69,428.95,625.99,0,4103.73
83,2325,52,2023-05-28,UPI,Delivered,1213.17,167.1,188.29,79,1313.36
84,7869,28,2023-05-01,Cash,Delivered,20111.57,2205.35,3223.12,79,21208.34
85,3842,78,2024-12-11,Credit Card,Delivered,7462.43,1440.79,1083.9,79,7184.54
86,4369,3,2025-04-11,Credit Card,Processing,7057.91,384.81,1201.16,79,7953.26
87,9386,62,2023-01-20,Debit Card,Shipped,20891.49,2657.96,3282.04,0,21515.57
88,3012,79,2024-12-20,Cash,Delivered,7112.31,1107.12,1080.93,0,7086.12
89,9256,9,2024-12-21,Cash,Delivered,13396.58,1590.54,2125.09,0,13931.13
90,2361,95,2024-12-20,Net Banking,Processing,13068.28,2493.5,1903.46,99,12577.24
91,9715,43,2025-11-07,UPI,Delivered,15965.5,2328.77,2454.61,0,16091.34
92,5409,33,2024-01-30,Credit Card,Delivered,9797.87,428.96,1686.4,0,11055.31
93,6828,49,2023-04-14,Net Banking,Cancelled,22349.03,92.74,4006.13,99,26361.42
94,6092,33,2024-04-25,UPI,Delivered,21613.5,3103.29,3331.84,99,21941.05
95,2316,65,2024-06-16,Net Banking,Delivered,4949.14,976.02,715.16,99,4787.28
96,4792,81,2025-10-13,Credit Card,Cancelled,11257.71,1756.64,1710.19,99,11310.26
97,9920,82,2023-03-08,Debit Card,Processing,708.4,85.15,112.19,49,784.44
