payment_id,order_id,payment_method,payment_status,transaction_id,payment_date,amount
1,1,Credit Card,Pending,68dca466-3189-4161-a026-c194cd5ca076,2025-09-25,16674.16
2,2,UPI,Pending,71503909-5596-4464-94e9-088489d8bfe6,2023-09-08,16720.86
3,3,UPI,Success,740cf61b-c3a9-401c-9703-828fe996c97c,2024-01-09,10873.48
4,4,UPI,Success,2809dfd1-b383-427d-8a9e-81c3230cbf77,2024-07-17,19633.51
5,5,Credit Card,Pending,e2e485d5-8971-401a-a79b-00e13863ac03,2023-06-20,15075.75
6,6,UPI,Success,df634746-8998-438f-8eba-b297ac606681,2023-12-24,22146.36
7,7,Debit Card,Success,172a5f1b-4c17-4828-bb14-f0475b772af0,2024-05-11,8243.29
8,8,Cash,Success,a391542c-bcfb-41af-bc25-cdd09528beff,2023-06-17,16640.57
9,9,Debit Card,Success,03379a5b-b34f-4b26-a254-e90af7017075,2024-01-31,17129.39
10,10,Wallet,Failed,27931557-356d-4c68-a188-ca6333130c79,2025-01-05,1173.77
11,11,Wallet,Success,98a53dd7-5e77-4356-b65f-b8e4f9f0d20e,2025-10-04,3630.12
12,12,Wallet,Success,cc193004-9551-4313-b288-246b2113906d,2023-07-14,3448.5
13,13,Cash,Success,9c70d50c-e0bd-4219-9f91-b96bef6328a8,2025-02-10,17718.06
14,14,Credit Card,Success,3bf110d6-cb5c-4a89-822c-6b92347eaa5f,2025-08-10,23685.62
15,15,Wallet,Success,c4f73a24-cfdd-426c-8b4b-cf9c2230d0f0,2023-11-21,10550.11
16,16,UPI,Pending,8cf4307f-9376-4179-b0cb-4d16bed4e2b6,2024-08-11,18062.95
17,17,Debit Card,Success,ae6ae2fd-5d40-4876-92ee-184eb903f039,2025-06-08,22597.94
18,18,Wallet,Success,a6d93693-172b-4aa8-a24a-4431bb9172ad,2024-09-30,26213.19
19,19,Debit Card,Success,1322ed2d-9797-4019-ab63-9c1f255a09ea,2023-05-30,2380.82
20,20,Wallet,Success,b871cdac-4e81-4735-8590-3a03f200ae5e,2024-04-08,23014.72
21,21,Wallet,Success,f3ef818a-ea6a-4bbc-a74a-e9a96f25d3d6,2024-12-05,11541.29
22,22,Wallet,Success,3783646a-4db0-45a9-8475-12953474e2a7,2023-07-28,8074.2
23,23,Debit Card,Success,c9a25033-efe0-48d6-a1a2-e0791ef028d8,2024-04-16,22629.06
24,24,Cash,Success,840a26cc-ba0e-43e0-8241-502c897d6302,2025-11-14,14651.42
25,25,Net Banking,Success,bbb932c1-d6a5-413e-b43a-4010582390c6,2025-10-13,21295.92
26,26,Cash,Success,8a44984b-4727-4595-831f-5a8380faf08b,2024-11-01,1453.9
27,27,UPI,Success,bcdbc95c-ae68-418d-96ee-d4346647322a,2024-06-06,18006.59
28,28,Net Banking,Failed,0b2134e9-08c9-45f8-88ba-119f54009c61,2023-11-15,20270.66
29,29,Credit Card,Pending,e8a6e16b-8d35-4257-811a-ecefcc5c1459,2023-10-07,1384.36
30,30,Debit Card,Failed,da419325-14ab-4ed4-bc72-f1d75bda2621,2023-12-24,24922.14
31,31,Cash,Pending,6fed4549-e7fd-40a5-a96c-5bc87938c0c2,2025-01-24,26469.06
32,32,Credit Card,Success,000bd33a-e03b-46cc-ba90-8ecf027698bb,2024-06-12,3220.45
33,33,Wallet,Failed,68dc7628-7ba6-4bcb-a17d-a2dcf5add440,2025-07-09,17226.09
34,34,Cash,Pending,26a5302f-7fc9-4b33-ab31-f4539311b3f6,2023-05-11,4501.32
35,35,Debit Card,Pending,dea969a7-0b64-4bb8-a971-c5da6ea30377,2023-05-19,11906.53
