return_id,order_id,return_reason,refund_amount,return_status
1,16033,Customer Changed Mind,1639.12,Refunded
2,14615,Wrong Product,19789.75,Refunded
3,7738,Late Delivery,13874.92,Refunded
4,40705,Late Delivery,13122.6,Refunded
5,19748,Wrong Product,11084.72,Refunded
6,29611,Customer Changed Mind,1279.4,Refunded
7,28014,Late Delivery,10730.46,Refunded
8,38193,Quality Issue,15407.49,Refunded
9,33214,Damaged,14662.76,Refunded
10,7255,Damaged,26134.73,Refunded
11,44660,Customer Changed Mind,1744.89,Refunded
12,818,Wrong Product,16405.56,Refunded
13,48677,Wrong Product,15786.16,Refunded
14,5711,Late Delivery,18880.42,Refunded
15,21399,Customer Changed Mind,24455.83,Refunded
16,20368,Quality Issue,1068.42,Refunded
17,418,Damaged,23198.33,Refunded
18,49846,Late Delivery,18869.77,Refunded
19,36276,Customer Changed Mind,26069.72,Refunded
20,1946,Quality Issue,12138.56,Refunded
21,32747,Late Delivery,7238.66,Refunded
22,35917,Customer Changed Mind,6573.38,Refunded
23,19206,Quality Issue,1146.64,Refunded
24,46673,Quality Issue,12609.07,Refunded
25,36777,Late Delivery,8642.47,Refunded
26,39026,Damaged,18335.34,Refunded
27,5773,Late Delivery,18899.04,Refunded
28,32822,Quality Issue,13056.3,Refunded
29,13432,Quality Issue,2464.04,Refunded
30,4444,Customer Changed Mind,21659.76,Refunded
31,43230,Customer Changed Mind,8206.95,Refunded
32,49962,Damaged,20699.52,Refunded
33,38964,Quality Issue,6556.36,Refunded
34,30908,Wrong Product,623.0,Refunded
35,48490,Customer Changed Mind,17129.47,Refunded
36,43756,Damaged,17734.85,Refunded
37,14315,Late Delivery,6845.54,Refunded
38,13224,Customer Changed Mind,14871.23,Refunded
39,18892,Wrong Product,16066.01,Refunded
40,37965,Quality Issue,20208.69,Refunded
41,40017,Late Delivery,27459.93,Refunded
42,44595,Wrong Product,16667.42,Refunded
43,30585,Customer Changed Mind,5574.83,Refunded
44,25614,Quality Issue,662.38,Refunded
45,5065,Damaged,17698.67,Refunded
46,16312,Wrong Product,20717.49,Refunded
47,5907,Late Delivery,26456.14,Refunded
48,11443,Quality Issue,11741.99,Refunded
49,19532,Wrong Product,17373.03,Refunded
50,15024,Quality Issue,7123.22,Refunded
51,15644,Customer Changed Mind,2472.47,Refunded
52,40574,Customer Changed Mind,798.18,Refunded
53,20340,Late Delivery,23914.02,Refunded
54,21092,Damaged,5813.21,Refunded
55,19416,Late Delivery,24681.0,Refunded
56,6206,Customer Changed Mind,18997.23,Refunded
57,10982,Late Delivery,4362.39,Refunded
58,20617,Late Delivery,7694.27,Refunded
59,15800,Wrong Product,9278.52,Refunded
60,45458,Customer Changed Mind,9603.86,Refunded
61,37001,Customer Changed Mind,16612.42,Refunded
62,4032,Wrong Product,11049.9,Refunded
63,24161,Customer Changed Mind,14627.96,Refunded
64,20250,Quality Issue,8890.69,Refunded
65,40475,Late Delivery,16763.74,Refunded
66,34359,Late Delivery,6235.64,Refunded
67,26042,Quality Issue,16637.74,Refunded
68,17390,Damaged,6163.12,Refunded
69,6814,Quality Issue,2217.96,Refunded
70,22702,Wrong Product,26007.29,Refunded
