shipment_id,order_id,courier,shipment_date,delivery_date,shipping_status
1,1,Delhivery,2025-09-25,2025-10-02,Delivered
2,2,BlueDart,2023-09-08,2023-09-15,Delivered
3,3,Ecom Express,2024-01-09,2024-01-10,Delivered
4,4,Ecom Express,2024-07-17,2024-07-21,Delivered
5,5,XpressBees,2023-06-20,2023-06-23,Delivered
6,6,XpressBees,2023-12-24,2023-12-30,Delivered
7,7,BlueDart,2024-05-11,2024-05-12,Delivered
8,8,XpressBees,2023-06-17,2023-06-21,Delivered
9,9,XpressBees,2024-01-31,2024-02-03,Delivered
10,10,XpressBees,2025-01-05,2025-01-10,Delivered
11,11,Ecom Express,2025-10-04,2025-10-10,Delivered
12,12,Ecom Express,2023-07-14,2023-07-15,In Transit
13,13,India Post,2025-02-10,2025-02-14,Delivered
14,14,Ecom Express,2025-08-10,2025-08-16,Delivered
15,15,Ecom Express,2023-11-21,2023-11-22,Delivered
16,16,India Post,2024-08-11,2024-08-18,Delivered
17,17,Delhivery,2025-06-08,2025-06-12,Delivered
18,18,BlueDart,2024-09-30,2024-10-01,Delivered
19,19,Delhivery,2023-05-30,2023-06-02,In Transit
20,20,Delhivery,2024-04-08,2024-04-10,Delivered
21,21,India Post,2024-12-05,2024-12-08,Delivered
22,22,XpressBees,2023-07-28,2023-08-04,In Transit
23,23,India Post,2024-04-16,2024-04-21,In Transit
24,24,BlueDart,2025-11-14,2025-11-15,Delivered
25,25,India Post,2025-10-13,2025-10-18,In Transit
26,26,XpressBees,2024-11-01,2024-11-08,Delivered
27,27,Ecom Express,2024-06-06,2024-06-09,Delivered
28,28,Delhivery,2023-11-15,2023-11-18,Delivered
29,29,XpressBees,2023-10-07,2023-10-14,Delivered
30,30,Ecom Express,2023-12-24,2023-12-30,In Transit
31,31,Delhivery,2025-01-24,2025-01-26,Delivered
32,32,Ecom Express,2024-06-12,2024-06-19,Delivered
33,33,BlueDart,2025-07-09,2025-07-13,Delivered
34,34,Delhivery,2023-05-11,2023-05-18,Delivered
35,35,Ecom Express,2023-05-19,2023-05-23,Delivered
36,36,Delhivery,2025-10-13,2025-10-15,Delivered
37,37,XpressBees,2024-12-23,2024-12-26,Delivered
38,38,BlueDart,2024-11-15,2024-11-16,In Transit
39,39,XpressBees,2023-09-05,2023-09-11,Delivered
40,40,Delhivery,2024-12-07,2024-12-11,Delivered
