order_date,recognized_revenue_operational,completed_orders,aov_operational
2025-09-25,483697.38,33,14657.50
2023-09-08,415390.03,32,12980.94
2024-01-09,391349.71,30,13044.99
2024-07-17,419121.40,35,11974.90
2023-06-20,495078.09,39,12694.31
2023-12-24,519650.82,36,14434.75
2024-05-11,476986.41,35,13628.18
2023-06-17,479518.64,38,12618.91
2024-01-31,560906.99,39,14382.23
2025-01-05,497857.81,33,15086.60
2025-10-04,431470.08,33,13074.85
2023-07-14,577901.27,42,13759.55
2025-02-10,525334.34,39,13470.11
2025-08-10,534015.11,35,15257.57
2023-11-21,482109.80,39,12361.79
2024-08-11,429803.14,32,13431.35
2025-06-08,395540.80,31,12759.38
2024-09-30,548780.56,45,12195.12
2023-05-30,607443.69,45,13498.75
2024-04-08,478340.87,35,13666.88
2024-12-05,553799.49,43,12879.06
2023-07-28,716388.53,49,14620.17
2024-04-16,384560.75,29,13260.72
2025-11-14,445382.15,33,13496.43
2025-10-13,522928.93,41,12754.36
2024-11-01,524904.18,33,15906.19
2024-06-06,436791.52,29,15061.78
2023-11-15,598343.65,42,14246.28
2023-10-07,350608.95,27,12985.52
2025-01-24,362868.28,25,14514.73
2024-06-12,395632.46,30,13187.75
2025-07-09,624252.63,40,15606.32
2023-05-11,471958.76,32,14748.71
2023-05-19,432794.00,30,14426.47
2024-12-23,568642.70,40,14216.07
2024-11-15,379786.68,33,11508.69
2023-09-05,410869.78,33,12450.60
2024-12-07,363419.48,27,13459.98
2023-10-19,565230.20,40,14130.76
2024-11-10,272122.94,22,12369.22
2023-02-09,541321.54,39,13880.04
2023-08-11,384610.17,30,12820.34
2024-06-03,532896.83,35,15225.62
2024-05-12,492304.83,34,14479.55
2023-12-26,517989.94,36,14388.61
2023-11-08,454691.65,35,12991.19
2025-05-02,474805.35,35,13565.87
2024-09-21,419088.80,36,11641.36
2025-08-05,566151.72,42,13479.80
2023-02-10,418051.43,29,14415.57
2023-03-12,397053.55,31,12808.18
2024-09-25,374119.26,27,13856.27
2025-02-25,411386.88,32,12855.84
2025-01-16,587679.10,37,15883.22
2025-08-25,527858.68,33,15995.72
2023-06-09,413139.47,29,14246.19
2025-01-04,468325.96,32,14635.19
2025-06-03,505141.95,36,14031.72
2025-02-03,259231.11,22,11783.23
2024-06-19,499992.80,36,13888.69
2025-09-16,440626.30,34,12959.60
2023-09-13,418899.64,31,13512.89
2023-05-20,479587.43,32,14987.11
