campaign_id,campaign_name,channel_name,campaign_type,campaign_status,start_date,end_date,budget,operational_spend,budget_variance,budget_utilization_pct,impressions,clicks,ctr_pct,operational_cpc,self_reported_conversions,self_reported_revenue,self_reported_conversion_rate_pct,self_reported_roas
4,"Kids Promotion 2025 - Affiliate - 004",Affiliate,"Product Launch",Completed,2025-09-10,2025-10-28,361779.00,358861.15,2917.85,99.19,1907454,65466,3.43,5.48,4024,1758419.64,6.15,4.90
6,"Christmas Festival 2024 - Affiliate - 006",Affiliate,"App Install",Completed,2024-06-15,2024-08-16,1377440.00,1226601.35,150838.65,89.05,5674895,133748,2.36,9.17,5766,3655272.02,4.31,2.98
11,"Grocery Carnival 2024 - Affiliate - 011",Affiliate,"App Install",Completed,2024-09-30,2024-11-27,1051527.00,737092.66,314434.34,70.10,2948646,118502,4.02,6.22,8128,4194057.24,6.86,5.69
14,"Premium Carnival 2024 - Affiliate - 014",Affiliate,"Seasonal Sale",Completed,2024-03-28,2024-06-13,369256.00,331564.28,37691.72,89.79,1141621,23722,2.08,13.98,1100,1604771.12,4.64,4.84
35,"Smart Shopping Offers 2025 - Affiliate - 035",Affiliate,"Seasonal Sale",Completed,2025-03-22,2025-06-10,634191.00,452378.56,181812.44,71.33,2279095,75659,3.32,5.98,4564,2388558.80,6.03,5.28
36,"Fashion Week 2025 - Affiliate - 036",Affiliate,"Product Launch",Completed,2025-01-07,2025-03-18,758328.00,681749.19,76578.81,89.90,4786470,222578,4.65,3.06,10095,3524643.31,4.54,5.17
45,"Fashion Promotion 2024 - Affiliate - 045",Affiliate,"Brand Awareness",Completed,2024-08-07,2024-08-30,1077114.00,888330.67,188783.33,82.47,5649873,167829,2.97,5.29,10949,4184037.46,6.52,4.71
50,"Electronics Offers 2024 - Affiliate - 050",Affiliate,"Brand Awareness",Completed,2024-01-20,2024-04-13,1463450.00,1054540.87,408909.13,72.06,3607593,59197,1.64,17.81,1275,3015986.89,2.15,2.86
71,"Fashion Launch 2025 - Affiliate - 071",Affiliate,"Customer Acquisition",Completed,2025-11-17,2025-12-15,1554739.00,1319414.80,235324.20,84.86,5514448,160006,2.90,8.25,9284,2243005.16,5.80,1.70
75,"Christmas Launch 2025 - Affiliate - 075",Affiliate,"Loyalty Campaign",Completed,2025-05-25,2025-07-16,1850542.00,1563245.12,287296.88,84.47,7625602,236298,3.10,6.62,6434,3986275.06,2.72,2.55
93,"Super Launch 2025 - Affiliate - 093",Affiliate,"Product Launch",Completed,2025-11-17,2026-02-09,1473470.00,1075200.62,398269.38,72.97,5167185,151316,2.93,7.11,10225,1806337.04,6.76,1.68
95,"Kids Festival 2024 - Affiliate - 095",Affiliate,Retargeting,Completed,2024-07-13,2024-08-12,1489926.00,1137754.79,352171.21,76.36,4839270,237067,4.90,4.80,5340,3788723.45,2.25,3.33
104,"Premium Campaign 2024 - Affiliate - 104",Affiliate,"Brand Awareness",Completed,2024-03-02,2024-05-31,1505119.00,1108775.09,396343.91,73.67,6037512,231157,3.83,4.80,13294,6952019.81,5.75,6.27
109,"Winter Festival 2024 - Affiliate - 109",Affiliate,"App Install",Completed,2024-06-08,2024-07-13,670641.00,558599.62,112041.38,83.29,2845314,103135,3.62,5.42,4198,1502632.98,4.07,2.69
110,"New Year Week 2024 - Affiliate - 110",Affiliate,"Seasonal Sale",Completed,2024-04-26,2024-06-24,1120542.00,961514.94,159027.06,85.81,5478234,124455,2.27,7.73,8615,1730726.89,6.92,1.80
123,"Super Campaign 2024 - Affiliate - 123",Affiliate,"Festival Sale",Completed,2024-12-07,2025-01-01,750603.00,743328.87,7274.13,99.03,3025026,86874,2.87,8.56,4322,4950570.27,4.98,6.66
131,"Electronics Offers 2025 - Affiliate - 131",Affiliate,"Product Launch",Completed,2025-02-28,2025-03-21,909849.00,908354.67,1494.33,99.84,4844964,77454,1.60,11.73,5153,5559130.58,6.65,6.12
136,"Christmas Sale 2025 - Affiliate - 136",Affiliate,"Product Launch",Completed,2025-10-12,2025-12-15,848880.00,795023.66,53856.34,93.66,4366715,177519,4.07,4.48,9126,4563435.81,5.14,5.74
