order_date,gross_order_value,total_refunds,recognized_revenue_operational
2025-09-25,560128.02,76430.64,483697.38
2023-09-08,538766.76,123376.73,415390.03
2024-01-09,475432.70,84082.99,391349.71
2024-07-17,503206.91,84085.51,419121.40
2023-06-20,593471.20,98393.11,495078.09
2023-12-24,630925.59,111274.77,519650.82
2024-05-11,560193.02,83206.61,476986.41
2023-06-17,585086.18,105567.54,479518.64
2024-01-31,719306.06,158399.07,560906.99
2025-01-05,556635.05,58777.24,497857.81
2025-10-04,543926.93,112456.85,431470.08
2023-07-14,663886.11,85984.84,577901.27
2025-02-10,588385.93,63051.59,525334.34
2025-08-10,548142.72,14127.61,534015.11
2023-11-21,567133.53,85023.73,482109.80
2024-08-11,511225.49,81422.35,429803.14
2025-06-08,548330.30,152789.50,395540.80
2024-09-30,584583.30,35802.74,548780.56
2023-05-30,653098.10,45654.41,607443.69
2024-04-08,528751.42,50410.55,478340.87
2024-12-05,635162.94,81363.45,553799.49
2023-07-28,847710.22,131321.69,716388.53
2024-04-16,466496.03,81935.28,384560.75
2025-11-14,536015.60,90633.45,445382.15
2025-10-13,665069.33,142140.40,522928.93
2024-11-01,659673.69,134769.51,524904.18
2024-06-06,490644.10,53852.58,436791.52
2023-11-15,649497.23,51153.58,598343.65
2023-10-07,368974.53,18365.58,350608.95
2025-01-24,511396.28,148528.00,362868.28
2024-06-12,533661.00,138028.54,395632.46
2025-07-09,673409.55,49156.92,624252.63
2023-05-11,571254.89,99296.13,471958.76
2023-05-19,456036.61,23242.61,432794.00
2024-12-23,732862.32,164219.62,568642.70
2024-11-15,441350.53,61563.85,379786.68
2023-09-05,506327.01,95457.23,410869.78
2024-12-07,416547.49,53128.01,363419.48
2023-10-19,621288.48,56058.28,565230.20
2024-11-10,317829.97,45707.03,272122.94
2023-02-09,601110.87,59789.33,541321.54
2023-08-11,410222.83,25612.66,384610.17
2024-06-03,695805.47,162908.64,532896.83
2024-05-12,557921.75,65616.92,492304.83
2023-12-26,691465.60,173475.66,517989.94
2023-11-08,585424.74,130733.09,454691.65
2025-05-02,544739.90,69934.55,474805.35
2024-09-21,448809.14,29720.34,419088.80
2025-08-05,668112.06,101960.34,566151.72
2023-02-10,532569.02,114517.59,418051.43
2023-03-12,428849.91,31796.36,397053.55
2024-09-25,468600.37,94481.11,374119.26
2025-02-25,497164.53,85777.65,411386.88
2025-01-16,671203.63,83524.53,587679.10
2025-08-25,559295.86,31437.18,527858.68
2023-06-09,549660.83,136521.36,413139.47
2025-01-04,600795.83,132469.87,468325.96
2025-06-03,552787.40,47645.45,505141.95
2025-02-03,376355.20,117124.09,259231.11
2024-06-19,633367.13,133374.33,499992.80
2025-09-16,515963.48,75337.18,440626.30
2023-09-13,471662.97,52763.33,418899.64
2023-05-20,529325.80,49738.37,479587.43
2025-08-16,644027.95,114035.34,529992.61
2024-08-09,677465.45,92294.07,585171.38
2024-02-25,441214.90,29553.70,411661.20
2023-03-31,535223.47,72593.90,462629.57
2024-07-06,534108.66,70681.45,463427.21
